,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_temp,Wind_speed
1,cape town,20.0,ZA,2019-05-24,59.0,-33.93,18.42,64.99,24.16
2,tasiilaq,20.0,GL,2019-05-24,69.0,65.61,-37.64,35.6,16.11
3,antofagasta,90.0,CL,2019-05-24,63.0,-23.65,-70.4,60.8,4.7
4,yellowknife,75.0,CA,2019-05-24,69.0,62.45,-114.38,39.2,6.93
5,xuddur,33.0,SO,2019-05-24,52.0,4.12,43.89,85.55,12.24
6,luderitz,0.0,NA,2019-05-24,56.0,-26.65,15.16,71.6,14.99
7,busselton,0.0,AU,2019-05-24,51.0,-33.64,115.35,53.01,17.38
8,tateyama,100.0,JP,2019-05-24,69.0,36.66,137.31,75.0,4.0
9,albany,20.0,US,2019-05-24,42.0,42.65,-73.75,70.0,11.41
10,dudinka,40.0,RU,2019-05-24,92.0,69.41,86.18,28.4,6.71
11,opuwo,0.0,NA,2019-05-24,16.0,-18.06,13.84,82.13,4.14
12,wawa,98.0,NG,2019-05-24,23.0,9.9,4.41,105.35,4.45
13,butaritari,93.0,KI,2019-05-24,79.0,3.07,172.79,83.39,15.14
14,jamestown,21.0,AU,2019-05-24,86.0,-33.21,138.6,50.63,6.93
15,taltal,22.0,CL,2019-05-24,62.0,-25.41,-70.49,62.33,6.89
16,trelew,99.0,AR,2019-05-24,43.0,-43.25,-65.31,51.89,14.16
17,mataura,69.0,NZ,2019-05-24,95.0,-46.19,168.86,48.0,3.85
18,marystown,100.0,CA,2019-05-24,50.0,47.17,-55.16,57.65,5.57
19,carnarvon,100.0,ZA,2019-05-24,50.0,-30.97,22.13,58.55,13.58
20,gizo,0.0,IL,2019-05-24,54.0,31.8,34.94,80.6,11.41
21,arraial do cabo,0.0,BR,2019-05-24,73.0,-22.97,-42.02,77.0,6.93
22,ushuaia,75.0,AR,2019-05-24,80.0,-54.81,-68.31,30.2,20.8
23,iskateley,100.0,RU,2019-05-24,98.0,67.68,53.15,37.67,11.3
24,mount gambier,75.0,AU,2019-05-24,100.0,-37.83,140.78,48.2,10.29
25,surskoye,12.0,RU,2019-05-24,76.0,54.48,46.71,67.01,7.81
26,sao joao da barra,20.0,BR,2019-05-24,69.0,-21.64,-41.05,78.8,6.93
27,marsa matruh,0.0,EG,2019-05-24,54.0,31.35,27.25,78.8,12.75
28,guerrero negro,6.0,MX,2019-05-24,78.0,27.97,-114.04,62.15,19.98
